mode_name,model_variant,dataset_variant,group,num_examples,accuracy,precision,recall,f1,avg_latency_ms,avg_confidence,cache_hits,cache_hit_rate,model_calls,tp,fp,fn,tn
balanced,Model A,mutated_data,weapon,57,0.9649,1.0,0.9649,0.9821,38.094,0.9681,0,0.0,57,55,0,2,0
strict,Model A,test,MISSING,3134,0.9241,0.9324,0.4814,0.635,80.432,0.1414,0,0.0,3134,207,15,223,2689
strict,Model A,test,illegal acts,441,1.0,1.0,1.0,1.0,53.097,0.9997,0,0.0,441,441,0,0,0
strict,Model A,test,adversarial_harmful,397,0.9421,1.0,0.9421,0.9702,55.698,0.9572,0,0.0,397,374,0,23,0
strict,Model A,test,"hate speech, discrimination and vulgar language",397,1.0,1.0,1.0,1.0,56.709,0.9997,0,0.0,397,397,0,0,0
strict,Model A,test,peaceful_tech,97,1.0,1.0,1.0,1.0,78.158,0.9997,0,0.0,97,97,0,0,0
strict,Model A,test,privacy attacks,75,1.0,1.0,1.0,1.0,53.126,0.9997,0,0.0,75,75,0,0,0
strict,Model A,test,weapon,58,1.0,1.0,1.0,1.0,90.082,0.9997,0,0.0,58,58,0,0,0
strict,Model A,mutated_data,MISSING,5259,0.7081,0.2955,0.7503,0.424,38.327,0.4849,0,0.0,5259,565,1347,188,3159
strict,Model A,mutated_data,illegal acts,1062,0.8503,1.0,0.8503,0.9191,37.717,0.8933,0,0.0,1062,903,0,159,0
strict,Model A,mutated_data,adversarial_harmful,1011,0.911,1.0,0.911,0.9534,41.639,0.9342,0,0.0,1011,921,0,90,0
strict,Model A,mutated_data,"hate speech, discrimination and vulgar language",945,0.7418,1.0,0.7418,0.8518,37.891,0.8123,0,0.0,945,701,0,244,0
strict,Model A,mutated_data,privacy attacks,174,0.9425,1.0,0.9425,0.9704,36.611,0.9358,0,0.0,174,164,0,10,0
strict,Model A,mutated_data,NSFW,138,0.5942,1.0,0.5942,0.7455,37.282,0.6845,0,0.0,138,82,0,56,0
strict,Model A,mutated_data,peaceful_tech,117,0.7094,1.0,0.7094,0.83,40.457,0.761,0,0.0,117,83,0,34,0
strict,Model A,mutated_data,adversarial_benign,66,0.4697,0.0,0.0,0.0,43.744,0.6194,0,0.0,66,0,35,0,31
strict,Model A,mutated_data,weapon,57,0.9474,1.0,0.9474,0.973,38.094,0.9681,0,0.0,57,54,0,3,0
adversarial_default,Model B,test,MISSING,3134,0.8548,0.4834,0.8488,0.616,94.318,0.241,512,0.1634,2622,365,390,65,2314
adversarial_default,Model B,test,illegal acts,441,1.0,1.0,1.0,1.0,41.017,1.0,300,0.6803,141,441,0,0,0
adversarial_default,Model B,test,adversarial_harmful,397,0.9874,1.0,0.9874,0.9937,54.549,0.9863,195,0.4912,202,392,0,5,0
adversarial_default,Model B,test,"hate speech, discrimination and vulgar language",397,1.0,1.0,1.0,1.0,44.054,1.0,250,0.6297,147,397,0,0,0
adversarial_default,Model B,test,peaceful_tech,97,1.0,1.0,1.0,1.0,63.818,1.0,63,0.6495,34,97,0,0,0
adversarial_default,Model B,test,privacy attacks,75,1.0,1.0,1.0,1.0,43.02,1.0,54,0.72,21,75,0,0,0
adversarial_default,Model B,test,weapon,58,1.0,1.0,1.0,1.0,27.065,1.0,58,1.0,0,58,0,0,0
adversarial_default,Model B,mutated_data,MISSING,5259,0.1595,0.1456,1.0,0.2541,55.85,0.9835,190,0.0361,5069,753,4420,0,86
adversarial_default,Model B,mutated_data,illegal acts,1062,1.0,1.0,1.0,1.0,53.732,1.0,120,0.113,942,1062,0,0,0
adversarial_default,Model B,mutated_data,adversarial_harmful,1011,1.0,1.0,1.0,1.0,56.987,1.0,140,0.1385,871,1011,0,0,0
adversarial_default,Model B,mutated_data,"hate speech, discrimination and vulgar language",945,1.0,1.0,1.0,1.0,52.15,1.0,125,0.1323,820,945,0,0,0
adversarial_default,Model B,mutated_data,privacy attacks,174,1.0,1.0,1.0,1.0,55.37,1.0,25,0.1437,149,174,0,0,0
adversarial_default,Model B,mutated_data,NSFW,138,1.0,1.0,1.0,1.0,55.834,1.0,4,0.029,134,138,0,0,0
adversarial_default,Model B,mutated_data,peaceful_tech,117,1.0,1.0,1.0,1.0,57.205,1.0,14,0.1197,103,117,0,0,0
adversarial_default,Model B,mutated_data,adversarial_benign,66,0.0,0.0,0.0,0.0,59.427,1.0,0,0.0,66,0,66,0,0
adversarial_default,Model B,mutated_data,weapon,57,1.0,1.0,1.0,1.0,47.019,1.0,25,0.4386,32,57,0,0,0
